Name,Game Mode,Difficulty,Guess Range,Hints Used,Attempts Taken,W/L,Points,Random No.,Date of Play
,AUT,EAS,50,1,4,WON,25,47,21-02-22
,,,,,,,,,
Abc,AUT,EAS,50,2,4,WON,5,19,21-02-22
,,,,,,,,,
Xyz,MAN,-,10,1,1,WON,25,93,21-02-22
,,,,,,,,,
Poq,AUT,HAR,200,3,9,LOST,0,-97,21-02-22
,,,,,,,,,
Hgj,MAN,-,44,1,3,WON,25,47,21-02-22
,,,,,,,,,
A,AUT,EAS,50,2,2,WON,15,6,26-02-22
,,,,,,,,,
Abc,AUT,MED,100,2,6,LOST,0,95,27-02-22
,,,,,,,,,
A,AUT,EAS,50,2,4,WON,5,35,27-02-22
,,,,,,,,,
Abc,AUT,WIZ,600,3,3,WON,85,78,27-02-22
,,,,,,,,,
Abc,AUT,WIZ,600,2,3,WON,95,240,27-02-22
A,AUT,EAS,50,2,2,WON,15,14,2022-03-06
Y,AUT,MED,100,2,3,WON,15,23,2022-03-06
God,AUT,MED,100,1,6,LOST,10,56,2022-03-06
Dog,MAN,-,8992,0,9,LOST,0,5581,2022-03-06
Einstein,MAN,-,396,3,9,LOST,0,298,2022-03-06
Einstein Jr,AUT,WIZ,600,5,7,WON,60,-170,2022-03-06
Ah,AUT,EAS,50,2,2,WON,15,11,2022-04-04
Abc,AUT,MED,100,1,6,LOST,0,82,2022-12-17
X,AUT,EAS,50,2,3,WON,10,21,2022-12-19
X,AUT,MED,100,2,6,LOST,0,9,2022-12-19
A,AUT,EAS,50,0,5,LOST,0,32,2022-12-24
Wsb,AUT,HAR,200,3,7,WON,10,-17,2023-06-04
Eer,AUT,EAS,50,2,5,LOST,0,37,2023-06-04
Asdas,AUT,EAS,50,1,1,WON,30,33,2023-06-04
Ri,MAN,-,50,2,5,WON,5,84,2023-09-14
Maxwell,AUT,WIZ,600,5,7,WON,45,-42,2023-09-14
Einstein,AUT,WIZ,600,3,3,WON,85,153,2023-09-15
Kk,MAN,-,199998,5,31,LOST,0,-89249,2023-09-15
Aritro,AUT,ADV,300,4,11,LOST,0,-35,2023-09-15
Ari,AUT,MED,100,3,7,LOST,0,78,2023-09-15
X,AUT,ADV,600,5,11,LOST,0,191,2023-09-15
Ral,AUT,ADV,600,5,5,WON,30,191,2023-09-15
A,AUT,EAS,50,0,5,LOST,0,9,2023-11-11
Ak,AUT,WIZ,1000,5,5,WON,55,-332,2023-12-04
